offset;vid;route;stops;real_times
42;1142;74_a;['bkz', 'railway_0'];[42, 959]
46;3694;191_b;['liteyny_0', 'vosst_0', 'suvorov_0', 'poltav_0'];[46, 403, 678, 833]
51;7356;3_b;['liteyny_0', 'vosst_0', 'railway_0'];[51, 356, 396]
64;1446;24_b;['liteyny_0', 'vosst_0', 'suvorov_0', 'poltav_0'];[64, 316, 664, 892]
191;3788;191_a;['poltav_1', 'suvorov_1', 'vosst_1', 'liteyny_1'];[191, 199, 1210, 1344]
200;3674;191_b;['suvorov_0', 'poltav_0'];[200, 498]
222;7381;3_a;['vosst_1', 'liteyny_1'];[222, 387]
222;6929;27_a;['poltav_1', 'suvorov_1', 'vosst_1', 'liteyny_1'];[222, 692, 1277, 1498]
233;7551;3_a;['railway_1', 'vosst_1', 'liteyny_1'];[233, 777, 996]
243;6911;15;['liteyny_2', 'zhukovskovgo_15'];[243, 363]
297;6998;27_a;['poltav_1', 'suvorov_1', 'vosst_1', 'liteyny_1'];[297, 417, 477, 657]
299;1412;74_a;['bkz', 'railway_0'];[299, 1252]
305;6850;22_b;['liteyny_0', 'mayakovskogo', 'zhukovskogo_22'];[305, 612, 919]
306;1498;24_b;['suvorov_0', 'poltav_0'];[306, 466]
315;1155;24_a;['vosst_1', 'liteyny_1'];[315, 402]
325;7516;3_b;['liteyny_0', 'vosst_0', 'railway_0'];[325, 640, 792]
385;6270;181_a;['vosst_1', 'liteyny_1'];[385, 602]
389;6898;22_a;['vosst_1', 'liteyny_1'];[389, 1366]
438;19702;105_a;['bkz', 'railway_0'];[438, 1395]
459;1146;24_a;['vosst_1', 'liteyny_1'];[459, 842]
502;3587;191_b;['liteyny_0', 'vosst_0', 'suvorov_0', 'poltav_0'];[502, 787, 1072, 1132]
573;1145;24_b;['liteyny_0', 'vosst_0', 'suvorov_0', 'poltav_0'];[573, 791, 1050, 1189]
594;6975;181_a;['vosst_1', 'liteyny_1'];[594, 774]
601;6224;181_b;['liteyny_0', 'vosst_0'];[601, 937]
632;7248;65_a;['poltav_1', 'suvorov_1', 'railway_0'];[632, 1039, 1565]
649;1262;24_a;['poltav_1', 'suvorov_1', 'vosst_1', 'liteyny_1'];[649, 729, 1370, 1554]
657;1405;24_a;['poltav_1', 'suvorov_1', 'vosst_1', 'liteyny_1'];[657, 747, 1998, 2188]
659;6263;181_b;['liteyny_0', 'vosst_0'];[659, 839]
666;1203;74_a;['bkz', 'railway_0'];[666, 1639]
724;6991;27_b;['liteyny_0', 'vosst_0', 'suvorov_0', 'poltav_0'];[724, 949, 1054, 1268]
744;3636;191_a;['poltav_1', 'suvorov_1', 'vosst_1', 'liteyny_1'];[744, 1105, 2062, 2337]
749;7383;22_a;['bkz', 'vosst_1', 'liteyny_1'];[749, 2193, 2547]
750;6996;27_a;['vosst_1', 'liteyny_1'];[750, 922]
780;6255;181_b;['liteyny_0', 'vosst_0'];[780, 860]
791;6925;15;['vosst_1', 'liteyny_2', 'zhukovskovgo_15'];[791, 1131, 1171]
805;7651;65_b;['railway_1', 'suvorov_0', 'poltav_0'];[805, 1015, 1175]
807;7186;3_b;['liteyny_0', 'vosst_0', 'railway_0'];[807, 1027, 1267]
878;3606;191_b;['liteyny_0', 'vosst_0', 'suvorov_0', 'poltav_0'];[878, 1234, 1642, 1750]
899;6976;27_b;['liteyny_0', 'vosst_0', 'suvorov_0', 'poltav_0'];[899, 1079, 1821, 1910]
943;6994;27_a;['poltav_1', 'suvorov_1', 'vosst_1', 'liteyny_1'];[943, 1063, 1123, 1303]
994;7468;22_b;['liteyny_0', 'mayakovskogo', 'zhukovskogo_22'];[994, 1114, 1234]
1074;1285;74_a;['bkz', 'railway_0'];[1074, 2004]
1086;6283;181_b;['liteyny_0', 'vosst_0'];[1086, 1521]
1223;1227;24_a;['poltav_1', 'suvorov_1', 'vosst_1', 'liteyny_1'];[1223, 1992, 2745, 3438]
1238;3643;191_b;['liteyny_0', 'vosst_0', 'suvorov_0', 'poltav_0'];[1238, 1524, 1882, 2120]
1268;6936;27_a;['poltav_1', 'suvorov_1', 'vosst_1', 'liteyny_1'];[1268, 2038, 2540, 2829]
1309;7231;3_a;['railway_1', 'vosst_1', 'liteyny_1'];[1309, 1537, 1885]
1315;7367;65_b;['railway_1', 'suvorov_0', 'poltav_0'];[1315, 1759, 2143]
1360;6254;181_a;['vosst_1', 'liteyny_1'];[1360, 1540]
1399;6893;22_b;['liteyny_0', 'mayakovskogo', 'zhukovskogo_22'];[1399, 1509, 1616]
